region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets,carbon_offset_metric_tons,existing_installs_count,center_point
11001008701,District of Columbia,38.91873169,38.90921021,-77.00350189,-77.00904846,38.91409683,-77.00627899,1037,412,97.20812183,53.78590078,117,1269,1187,1549,10798,12,14920,3,3730,28581.05275,427048.3947,349779.2606,455124.1823,3277055.714,3647.839331,4537588.605,"[[0,338],[5,48],[10,7],[15,3],[20,1],[30,2],[35,4],[85,1],[160,1],[165,1],[180,1],[185,1],[200,1],[205,1],[315,1],[570,1]]",2883.45892,0,POINT(-77.0062789916992 38.9140968322754)
11001009604,District of Columbia,38.89707184,38.88977051,-76.95136261,-76.96337891,38.89339066,-76.9582901,1037,224,90.8388521,27.21749696,21,367,97,44,6442,12,6971,3,1742.75,5770.562427,118246.4691,27665.6895,12259.69246,1983207.261,3571.564386,2147149.675,"[[0,171],[5,23],[10,13],[15,5],[20,2],[25,2],[30,2],[35,1],[40,1],[90,1],[165,1],[185,1],[195,1]]",1364.429088,0,POINT(-76.9582901000977 38.8933906555176)
11001002201,District of Columbia,38.95207977,38.94612122,-77.01940918,-77.02742767,38.94913483,-77.02329254,1037,614,97.79208832,57.76105362,65,302,286,287,9732,13,10672,3.25,2668,18263.6022,98474.0565,84944.43571,86141.16256,2960635.623,4116.370703,3248458.88,"[[0,485],[5,109],[10,11],[15,2],[20,2],[25,1],[30,1],[35,1],[55,1],[110,1]]",2064.267731,0,POINT(-77.0232925415039 38.9491348266602)
11001006801,District of Columbia,38.88980103,38.88455963,-76.97725677,-76.98365021,38.88772964,-76.98010254,1037,293,92.76923077,48.59038143,54,214,50,76,5457,13,5851,3.25,1462.75,14667.06823,68837.2665,15185.00326,21998.96351,1660676.881,3899.489966,1781365.183,"[[0,228],[5,43],[10,11],[15,4],[20,2],[25,1],[30,1],[35,1],[75,2]]",1131.987444,0,POINT(-76.9801025390625 38.8877296447754)
11001008001,District of Columbia,38.90013123,38.89350128,-76.98343658,-76.99024963,38.89619446,-76.98664856,1037,537,94.58972047,51.19161106,9,201,85,303,9418,13,10016,3.25,2504,2410.638495,65134.1063,25295.98817,87158.90433,2871656.548,3882.805396,3051656.186,"[[0,433],[5,84],[10,4],[15,2],[25,6],[30,2],[35,1],[40,1],[45,2],[85,1],[105,1]]",1939.207367,0,POINT(-76.9866485595703 38.8961944580078)
11001008002,District of Columbia,38.89358139,38.88922882,-76.97383881,-76.991539,38.89153671,-76.98275757,1037,456,90.05681818,47.94952681,33,801,132,88,10362,13,11416,3.25,2854,9247.218793,261770.8507,38900.33716,26045.01207,3164167.866,3891.000757,3500131.285,"[[0,339],[5,76],[10,16],[15,9],[20,3],[25,4],[30,1],[50,1],[65,1],[75,1],[90,1],[100,1],[120,1],[145,2]]",2224.195637,1,POINT(-76.9827575683594 38.8915367126465)
11001008410,District of Columbia,38.90399933,38.90013885,-76.98413086,-76.99495697,38.90155411,-76.99111938,1037,295,78.77947295,51.93661972,35,417,211,191,4250,13,5104,3.25,1276,9378.125745,140201.1948,63134.32182,56146.14093,1295571.152,4163.106592,1564430.935,"[[0,227],[5,56],[10,8],[15,2],[30,1],[35,1]]",994.1342703,0,POINT(-76.9911193847656 38.901554107666)
11001009906,District of Columbia,38.88977814,38.88562012,-76.93206024,-76.94055939,38.88791275,-76.93592072,1037,179,97.28915663,55.41795666,120,1045,699,821,4377,13,7062,3.25,1765.5,30999.40122,342177.6789,197761.8355,241945.5458,1327975.213,3992.806934,2140859.674,"[[0,118],[5,26],[10,5],[15,8],[20,3],[25,2],[30,3],[35,6],[50,1],[55,2],[60,1],[65,1],[75,1],[90,1],[170,1]]",1360.432041,4,POINT(-76.935920715332 38.8879127502441)
11001000300,District of Columbia,38.9225502,38.91257858,-77.06923676,-77.08226776,38.91755295,-77.07566071,1037,861,96.13710555,48.72665535,175,3365,931,1793,15246,14,21510,3.5,5377.5,47139.38612,1081625.827,271090.4322,505220.8542,4562079.818,4353.999243,6467156.317,"[[0,594],[5,187],[10,46],[15,11],[20,4],[25,4],[30,1],[35,2],[40,1],[70,1],[75,3],[90,1],[95,1],[110,1],[125,1],[130,1],[135,1],[225,1]]",4109.623238,0,POINT(-77.0756607055664 38.917552947998)
11001002101,District of Columbia,38.96100998,38.95186996,-77.01967621,-77.02823639,38.95591354,-77.02413177,1037,744,96.54901961,60.43866775,415,1235,607,1032,16934,14,20223,3.5,5055.75,109754.2399,403922.0889,175387.1451,302457.1902,5141813.34,4375.661377,6133334.004,"[[0,521],[5,160],[10,14],[15,10],[20,9],[25,4],[30,5],[35,4],[45,2],[50,1],[55,1],[60,1],[65,1],[70,1],[75,2],[80,2],[85,1],[90,1],[95,1],[120,1],[130,1],[190,1]]",3897.4923,0,POINT(-77.0241317749023 38.9559135437012)
11001002202,District of Columbia,38.95241165,38.94432831,-77.0085907,-77.01967621,38.94884491,-77.01386261,1037,400,96.34760705,52.2875817,75,841,325,234,7971,14,9446,3.5,2361.5,19643.89315,274391.1511,93724.84264,68414.27985,2415335.159,4307.367114,2871509.325,"[[0,293],[5,73],[10,19],[15,6],[20,1],[25,2],[30,1],[40,1],[55,1],[65,1],[130,1],[240,1]]",1824.731129,0,POINT(-77.0138626098633 38.948844909668)
11001002301,District of Columbia,38.94643021,38.93740082,-77.01154327,-77.01995087,38.94258881,-77.01657104,1037,670,97.6744186,69.35817805,951,696,1223,1274,7644,14,11788,3.5,2947,265049.1661,225493.495,362638.585,372348.2052,2312376.628,4262.788599,3537906.08,"[[0,504],[5,145],[10,12],[15,2],[20,3],[25,1],[30,2],[105,1]]",2248.200032,0,POINT(-77.0165710449219 38.9425888061523)
11001002900,District of Columbia,38.93708038,38.93019867,-77.02516937,-77.0327301,38.93384552,-77.0298996,1037,463,96.61016949,54.15204678,184,605,300,597,8226,14,9912,3.5,2478,51274.62823,197430.6616,87684.6092,170081.8013,2498780.677,4100.671021,3005252.377,"[[0,351],[5,78],[10,12],[15,9],[20,8],[30,2],[35,1],[65,1],[260,1]]",1909.719574,1,POINT(-77.029899597168 38.9338455200195)
11001003301,District of Columbia,38.92667007,38.91498947,-77.0090332,-77.01493073,38.92041779,-77.01145935,1037,500,94.54365079,52.46589717,389,699,59,473,6886,14,8506,3.5,2126.5,105975.5679,228072.0294,17100.19001,140741.7343,2091032.577,4134.140601,2582922.099,"[[0,400],[5,83],[10,7],[15,3],[20,3],[25,2],[35,1],[40,1]]",1641.345308,0,POINT(-77.0114593505859 38.9204177856445)
11001004600,District of Columbia,38.91464996,38.90536118,-77.00904846,-77.01811218,38.90973663,-77.01332092,1037,475,93.84920635,50.21141649,497,1372,442,759,15833,14,18903,3.5,4725.75,128277.732,453551.761,128162.5648,219885.9677,4806590.404,4112.479297,5736468.43,"[[0,353],[5,84],[10,7],[15,6],[20,1],[25,2],[30,8],[35,1],[40,1],[45,1],[50,1],[55,1],[60,1],[65,1],[80,1],[130,1],[135,2],[160,1],[575,1],[1015,1]]",3645.299851,0,POINT(-77.0133209228516 38.9097366333008)
11001006700,District of Columbia,38.88980865,38.88454819,-76.98364258,-76.99497223,38.88759613,-76.98995972,1037,341,55.53925165,45.04623514,120,221,220,360,5120,14,6041,3.5,1510.25,33201.90738,71708.7212,64012.74577,105869.9973,1553591.822,4124.236212,1828385.193,"[[0,259],[5,70],[10,5],[15,3],[20,2],[25,1],[105,1]]",1161.86681,0,POINT(-76.9899597167969 38.8875961303711)
11001006802,District of Columbia,38.88711929,38.87873077,-76.97725677,-76.98365784,38.8831749,-76.9814682,1037,346,89.44785276,47.46227709,4,156,50,58,6514,14,6782,3.5,1695.5,1026.278088,51348.33575,14121.48247,17268.80233,2000221.248,4138.91189,2083986.147,"[[0,284],[5,49],[10,3],[15,1],[20,3],[25,1],[35,1],[40,1],[45,1],[100,1],[115,1]]",1324.291153,1,POINT(-76.9814682006836 38.8831748962402)
11001006900,District of Columbia,38.88711929,38.87955856,-76.98365021,-76.99375916,38.88363647,-76.98735046,1037,385,85.30066815,50.26109661,438,903,485,695,11621,14,14142,3.5,3535.5,118627.8077,295343.0462,141677.5373,203999.3054,3562568.388,4376.862292,4322216.085,"[[0,277],[5,67],[10,10],[15,3],[20,6],[25,5],[30,1],[35,2],[40,3],[45,1],[50,1],[55,1],[65,1],[70,1],[90,1],[145,1],[165,1],[175,1],[200,1],[510,1]]",2746.598163,2,POINT(-76.9873504638672 38.8836364746094)
11001007100,District of Columbia,38.88278961,38.87147141,-76.9781723,-76.991539,38.87713242,-76.98712921,1037,271,93.79968203,45.93220339,20,291,192,264,14340,14,15107,3.5,3776.75,5359.481073,93776.8627,54190.0306,77993.2955,4368433.877,4282.7995,4599753.547,"[[0,176],[5,49],[10,9],[15,11],[20,6],[25,3],[30,3],[40,1],[45,2],[65,1],[70,1],[105,1],[115,2],[130,1],[160,1],[300,1],[325,1],[330,1],[485,1]]",2922.962294,0,POINT(-76.9871292114258 38.8771324157715)
11001008402,District of Columbia,38.90019989,38.89543152,-76.98343658,-76.99497223,38.89860535,-76.99108124,1037,188,52.25225225,54.02298851,25,52,17,98,4626,14,4818,3.5,1204.5,7041.970679,16964.77667,4714.38866,27364.07708,1394244.188,4094.190601,1450329.401,"[[0,136],[5,35],[10,1],[15,6],[20,2],[30,4],[35,1],[40,1],[50,1],[155,1]]",921.6272369,0,POINT(-76.991081237793 38.8986053466797)
11001008802,District of Columbia,38.90777969,38.90010071,-76.98085785,-76.99313354,38.90393448,-76.98664856,1037,729,96.19269619,58.88529887,144,562,896,671,14281,14,16554,3.5,4138.5,39846.37263,183099.1421,279411.7863,184337.3525,4345925.123,4174.863818,5032619.776,"[[0,515],[5,160],[10,36],[15,5],[20,1],[35,1],[40,3],[50,2],[65,1],[75,2],[80,1],[180,1],[230,1]]",3198.031741,0,POINT(-76.9866485595703 38.9039344787598)
11001009203,District of Columbia,38.92700958,38.91680908,-77.0005722,-77.00904083,38.92197418,-77.00553131,1037,463,96.89826303,59.28297055,112,1007,461,512,7593,14,9685,3.5,2421.25,31357.72488,329268.3915,136529.8226,144651.6109,2309454.647,4141.094891,2951262.197,"[[0,379],[5,54],[10,16],[15,4],[20,1],[30,1],[35,2],[45,1],[60,1],[65,1],[80,1],[110,1],[135,1]]",1875.410939,0,POINT(-77.0055313110352 38.9219741821289)
11001009509,District of Columbia,38.95241165,38.94626999,-76.9888916,-77.00171661,38.94919205,-76.99495697,1037,971,98.34710744,74.17876241,778,4386,2641,4297,10709,14,22811,3.5,5702.75,208193.4641,1454171.882,761482.504,1226358.283,3277308.205,4306.2573,6927514.338,"[[0,725],[5,211],[10,21],[15,4],[20,4],[55,1],[90,1],[125,1],[190,1],[235,1],[1040,1]]",4402.162636,2,POINT(-76.9949569702148 38.9491920471191)
11001010600,District of Columbia,38.91078949,38.89588928,-76.99313354,-77.00907135,38.90330505,-77.00332642,1037,614,75.3511236,57.22273998,21,728,532,532,34736,14,36549,3.5,9137.25,5704.726544,239568.462,155121.1844,151292.9688,10468441.06,4208.371997,11020128.41,"[[0,456],[5,85],[10,12],[15,4],[20,6],[25,2],[30,7],[35,7],[40,1],[45,2],[50,2],[55,2],[60,1],[65,2],[75,1],[100,2],[110,1],[125,1],[130,1],[135,1],[160,2],[165,1],[185,1],[190,1],[210,1],[235,1],[245,2],[250,1],[255,1],[265,1],[295,1],[360,1],[365,1],[410,1],[425,1],[485,1]]",7002.857756,1,POINT(-77.0033264160156 38.9033050537109)
11001002102,District of Columbia,38.96020126,38.95207977,-77.00901031,-77.01997375,38.95578384,-77.01423645,1037,821,95.52925707,56.50378527,85,2075,730,992,15581,15,19463,3.75,4865.75,22731.61578,677764.6218,211675.9111,277944.1763,4724637.997,4482.127197,5914754.322,"[[0,549],[5,203],[10,32],[15,10],[20,4],[25,3],[30,5],[35,2],[40,5],[45,1],[50,2],[60,1],[70,1],[95,1],[115,1],[145,1]]",3758.593517,1,POINT(-77.0142364501953 38.9557838439941)
11001003200,District of Columbia,38.93740082,38.92723083,-77.01795197,-77.02429962,38.93226624,-77.02117157,1037,779,94.59459459,60.15444015,1103,1923,1373,1312,12310,15,18021,3.75,4505.25,304979.5723,636569.0898,403228.0743,395594.3942,3769949.609,4535.457227,5510320.739,"[[0,545],[5,183],[10,21],[15,4],[20,3],[25,2],[30,3],[35,3],[40,5],[45,1],[50,1],[55,1],[60,1],[65,1],[70,2],[75,1],[85,1],[145,1]]",3501.591897,1,POINT(-77.0211715698242 38.9322662353516)
11001004201,District of Columbia,38.91913986,38.9140892,-77.03649139,-77.04165649,38.91620636,-77.03884888,1037,244,91.92307692,51.0460251,4,138,83,88,8474,15,8787,3.75,2196.75,1110.501135,46349.3493,24791.43597,25357.34589,2566266.092,4539.304639,2663874.724,"[[0,153],[5,52],[10,12],[15,6],[20,4],[25,2],[30,3],[35,1],[40,3],[50,1],[55,1],[70,1],[75,2],[85,1],[165,1],[170,1]]",1692.787515,0,POINT(-77.0388488769531 38.9162063598633)
11001004400,District of Columbia,38.92076874,38.91408157,-77.02188873,-77.03195953,38.91701508,-77.02758789,1037,674,93.11708861,57.2642311,317,1322,770,1044,24122,15,27575,3.75,6893.75,85178.53466,435741.431,221591.4617,301028.9842,7299170.518,4570.787012,8342710.93,"[[0,438],[5,161],[10,14],[15,6],[20,10],[25,7],[30,6],[35,3],[40,2],[45,4],[50,3],[60,1],[70,1],[75,1],[80,2],[90,2],[100,3],[115,1],[125,2],[150,1],[165,1],[175,2],[265,2],[635,1]]",5301.464356,1,POINT(-77.027587890625 38.9170150756836)
11001005600,District of Columbia,38.90454102,38.89300156,-77.05010986,-77.05860138,38.90020752,-77.05386353,1037,86,75.08896797,40.75829384,16,173,117,175,8860,15,9341,3.75,2335.25,4376.498199,53649.30162,33115.40795,48062.07492,2664071.96,4463.931781,2803275.243,"[[0,48],[5,4],[10,2],[15,5],[20,4],[25,2],[30,2],[35,3],[40,3],[45,1],[50,1],[55,1],[75,2],[95,1],[105,1],[115,1],[135,1],[140,1],[205,1],[215,1],[265,1]]",1781.371056,0,POINT(-77.0538635253906 38.9002075195312)
11001007000,District of Columbia,38.88467026,38.87796021,-76.99153137,-77.00205231,38.88132858,-76.99593353,1037,84,18.1626188,48.8372093,21,332,142,342,3350,15,4187,3.75,1046.75,5853.277118,110691.1433,41853.04396,98893.13732,1028638.015,4802.282416,1285928.617,"[[0,56],[5,15],[10,5],[15,3],[45,1],[110,1],[155,1],[165,1],[170,1]]",817.157011,0,POINT(-76.9959335327148 38.8813285827637)
11001007901,District of Columbia,38.90013123,38.8932991,-76.97646332,-76.98365021,38.89651489,-76.98043823,1037,454,92.61880688,49.56331878,122,828,347,304,14438,15,16039,3.75,4009.75,30900.04533,272949.5902,103662.9348,87021.61657,4426544.786,4672.51485,4921078.973,"[[0,294],[5,91],[10,27],[15,5],[20,12],[25,4],[30,11],[45,1],[50,1],[55,1],[60,2],[65,2],[195,1],[295,1],[440,1]]",3127.151952,0,POINT(-76.9804382324219 38.8965148925781)
11001009507,District of Columbia,38.96162033,38.95529175,-76.99163055,-77.00225067,38.95849991,-76.99777222,1037,295,97.43589744,51.75438596,257,511,970,1037,5285,15,8060,3.75,2015,71627.58978,168682.3145,285632.8386,313233.455,1623197.393,4432.971423,2462373.591,"[[0,199],[5,62],[10,13],[15,12],[20,3],[25,1],[30,1],[95,1],[120,1],[145,1],[165,1]]",1564.741477,0,POINT(-76.9977722167969 38.9584999084473)
11001000202,District of Columbia,38.91772842,38.90058136,-77.06273651,-77.07991791,38.90618896,-77.06961823,1037,919,95.00891266,57.47342089,685,4712,1658,2807,20582,16,30444,4,7611,187128.4154,1544269.821,473576.2438,802422.7386,6237997.371,4939.453345,9245394.59,"[[0,560],[5,236],[10,42],[15,17],[20,10],[25,16],[30,4],[35,8],[40,3],[45,3],[50,4],[55,1],[60,3],[65,1],[80,1],[85,1],[90,1],[95,1],[115,1],[120,1],[135,1],[140,1],[150,1],[210,1],[420,1]]",5875.084285,1,POINT(-77.0696182250977 38.9061889648437)
11001001902,District of Columbia,38.96995926,38.95872879,-77.00924683,-77.01989746,38.96396637,-77.01560974,1037,598,99.03498191,72.83800244,1125,5046,1733,2478,16979,16,27361,4,6840.25,293492.5648,1651006.14,491793.9724,696920.3689,5176142.314,4910.854663,8309355.361,"[[0,361],[5,185],[10,19],[15,5],[20,4],[25,1],[30,1],[35,4],[40,1],[65,3],[80,1],[90,1],[100,1],[110,1],[115,1],[135,1],[140,1],[175,1],[250,1],[370,1],[390,1],[430,1],[515,1],[700,1]]",5280.268206,6,POINT(-77.0156097412109 38.9639663696289)
11001002400,District of Columbia,38.94633102,38.93632889,-77.01898956,-77.0266037,38.94178391,-77.02240753,1037,727,96.81697613,66.39269406,809,2349,886,2028,10682,16,16754,4,4188.5,222589.2034,765947.1653,262270.3713,592572.465,3247908.365,4993.541858,5091287.57,"[[0,476],[5,209],[10,20],[15,7],[20,1],[25,2],[30,1],[35,1],[40,2],[45,1],[50,3],[55,1],[60,1],[145,1],[240,1]]",3235.312815,2,POINT(-77.0224075317383 38.9417839050293)
11001002701,District of Columbia,38.93822861,38.93164825,-77.03645325,-77.05016327,38.93445587,-77.04165649,1037,347,93.98826979,54.13416537,187,743,595,867,11110,16,13502,4,3375.5,51111.61832,234765.9342,167417.1153,250681.9735,3344254.874,4679.379077,4048231.515,"[[0,219],[5,93],[10,5],[15,9],[20,5],[25,1],[30,1],[35,2],[40,2],[50,1],[55,1],[65,3],[70,1],[85,1],[100,1],[280,1],[680,1]]",2572.491755,1,POINT(-77.0416564941406 38.934455871582)
11001002801,District of Columbia,38.93743134,38.93186951,-77.0327301,-77.03646088,38.93494797,-77.03452301,1037,242,98.2300885,72.67267267,569,1277,533,331,7826,16,10536,4,2634,154480.8771,416094.8731,162588.9932,95721.93082,2364061.805,5084.357593,3192948.48,"[[0,152],[5,50],[10,8],[15,6],[20,4],[25,9],[30,1],[50,1],[60,2],[70,1],[75,1],[80,2],[85,1],[145,1],[150,1],[195,1],[200,1]]",2028.993057,0,POINT(-77.0345230102539 38.9349479675293)
11001003100,District of Columbia,38.93632889,38.92675018,-77.02295685,-77.02825928,38.93059158,-77.02542114,1037,375,91.76470588,48.07692308,28,354,282,322,11716,16,12702,4,3175.5,7503.551495,117210.0553,83317.87968,93271.05221,3563457.254,4919.27124,3864759.792,"[[0,234],[5,90],[10,14],[15,6],[20,9],[25,6],[30,1],[35,1],[40,2],[50,1],[55,1],[60,1],[65,1],[70,2],[85,2],[95,1],[105,1],[120,1],[200,1]]",2455.902698,0,POINT(-77.0254211425781 38.930591583252)
11001003500,District of Columbia,38.92723083,38.91625977,-77.02188873,-77.0270462,38.92237854,-77.02433777,1037,271,90.58380414,56.34095634,215,741,840,1020,14139,16,16955,4,4238.75,55929.87393,241624.2911,248434.9456,294499.0238,4266493.366,4727.318164,5106981.5,"[[0,168],[5,48],[10,14],[15,10],[20,4],[25,1],[30,1],[35,1],[45,2],[50,2],[55,2],[60,4],[65,1],[70,1],[75,1],[105,1],[120,2],[145,1],[170,1],[175,1],[180,1],[225,1],[245,1],[255,1],[340,1]]",3245.28569,1,POINT(-77.0243377685547 38.9223785400391)
11001003600,District of Columbia,38.92675018,38.9200592,-77.02703094,-77.03237152,38.92367554,-77.02963257,1037,271,95.32908705,60.35634744,83,620,356,432,11005,16,12496,4,3124,22726.5963,198426.4987,100670.524,124372.41,3327239.587,4910.784937,3773435.616,"[[0,165],[5,60],[10,10],[15,4],[20,5],[25,5],[30,4],[40,4],[45,1],[50,1],[55,3],[60,1],[80,1],[90,2],[95,1],[120,1],[130,2],[375,1]]",2397.86978,1,POINT(-77.0296325683594 38.9236755371094)
11001004001,District of Columbia,38.92335129,38.91598892,-77.04267883,-77.05021667,38.92073441,-77.04653931,1037,230,98.64130435,63.36088154,156,584,267,413,7953,16,9373,4,2343.25,42965.34138,186897.3148,79866.68232,119574.1106,2407927.914,4868.301849,2837231.363,"[[0,141],[5,52],[10,6],[15,5],[20,4],[25,5],[30,1],[35,2],[40,2],[45,2],[50,3],[60,2],[65,1],[70,1],[85,1],[130,1],[245,1]]",1802.948834,1,POINT(-77.0465393066406 38.9207344055176)
11001004202,District of Columbia,38.91677856,38.91014099,-77.03928375,-77.0461731,38.91340256,-77.04303741,1037,247,96.2962963,59.375,82,425,254,275,7863,16,8899,4,2224.75,22436.59616,138981.5399,74219.48403,79305.06962,2369053.488,5018.57193,2683996.178,"[[0,149],[5,47],[10,17],[15,8],[20,6],[25,8],[35,4],[40,1],[45,1],[50,1],[55,1],[60,1],[65,1],[85,1],[160,1]]",1705.573906,0,POINT(-77.0430374145508 38.913402557373)
11001004300,District of Columbia,38.9200592,38.9140892,-77.03193665,-77.03650665,38.91680145,-77.03414917,1037,245,95.19450801,58.89423077,78,895,358,450,11226,16,13007,4,3251.75,21854.83995,285995.9381,103941.7975,129927.894,3387292.93,4842.225464,3929013.4,"[[0,147],[5,46],[10,10],[15,3],[20,12],[25,3],[30,4],[35,2],[40,4],[55,1],[60,4],[65,1],[75,1],[85,2],[105,1],[115,1],[195,1],[235,1],[330,1]]",2496.733336,1,POINT(-77.0341491699219 38.9168014526367)
11001005001,District of Columbia,38.9140892,38.90909958,-77.02703094,-77.0319519,38.91191864,-77.02951813,1037,247,95.25,64.82939633,302,406,113,121,7949,16,8891,4,2222.75,80860.34332,130340.5258,32209.71863,34547.74874,2413115.322,4883.978186,2691073.659,"[[0,158],[5,54],[10,12],[15,5],[20,4],[25,5],[30,2],[40,1],[45,1],[70,1],[75,1],[90,1],[110,1],[390,1]]",1710.071367,0,POINT(-77.0295181274414 38.9119186401367)
11001007409,District of Columbia,38.84838104,38.84185028,-76.96662903,-76.98059082,38.84528351,-76.97432709,1037,344,99.4140625,67.58349705,36,1651,1217,1229,11335,16,15468,4,3867,9805.579144,558403.4524,347088.8459,353236.013,3506618.704,4998.775916,4775152.595,"[[0,218],[5,43],[10,6],[15,23],[20,13],[25,5],[30,11],[35,12],[40,4],[45,3],[60,2],[70,1],[80,1],[100,1],[490,1]]",3034.421484,0,POINT(-76.9743270874023 38.8452835083008)
11001007605,District of Columbia,38.8682518,38.86066055,-76.96877289,-76.98435974,38.86604309,-76.97525787,1037,427,99.25512104,80.11257036,194,4378,1858,1426,8886,16,16742,4,4185.5,51052.504,1438766.693,543379.8017,418238.8169,2710649.997,5241.919702,5162087.813,"[[0,261],[5,99],[10,12],[15,9],[20,10],[25,6],[30,6],[35,1],[40,5],[45,9],[50,1],[60,1],[65,1],[70,1],[85,1],[105,1],[110,1],[225,1],[355,1]]",3280.303582,3,POINT(-76.9752578735352 38.8660430908203)
11001008702,District of Columbia,38.92123032,38.90787888,-76.99623871,-77.00533295,38.91487503,-77.00145721,1037,336,95.86614173,68.99383984,153,562,619,752,27090,16,29176,4,7294,41463.57711,186029.0125,183118.4704,219353.572,8301592.642,4847.898322,8931557.274,"[[0,198],[5,70],[10,19],[15,11],[20,1],[25,1],[30,2],[35,2],[45,6],[50,2],[55,1],[60,1],[70,1],[75,1],[80,3],[85,1],[95,1],[110,1],[120,1],[135,1],[155,1],[165,1],[200,1],[230,2],[275,1],[280,2],[350,1],[360,1],[390,1],[1210,1]]",5675.653026,1,POINT(-77.0014572143555 38.9148750305176)
11001008903,District of Columbia,38.90723038,38.90013123,-76.97019958,-76.98343658,38.90410995,-76.97770691,1037,261,92.68680445,44.76843911,32,401,160,118,8136,16,8847,4,2211.75,8887.189008,129120.1906,48414.42669,33108.69708,2502300.548,5019.94353,2721831.051,"[[0,155],[5,69],[10,14],[15,4],[20,3],[25,2],[30,2],[45,2],[50,1],[55,3],[70,2],[75,1],[85,2],[110,1]]",1729.616479,0,POINT(-76.9777069091797 38.904109954834)
